Date,Dollers,Rupees
1/1/2023,$1,82.7433
1/2/2023,$1,82.6856
1/3/2023,$1,82.7762
1/4/2023,$1,82.6606
1/5/2023,$1,82.6444
1/6/2023,$1,82.2735
1/7/2023,$1,82.2736
1/8/2023,$1,82.2616
1/9/2023,$1,82.1432
1/10/2023,$1,81.64
1/11/2023,$1,81.7087
1/12/2023,$1,81.0903
1/13/2023,$1,81.2851
1/14/2023,$1,81.2846
1/15/2023,$1,81.2847
1/16/2023,$1,81.6453
1/17/2023,$1,81.56
1/18/2023,$1,81.4209
1/19/2023,$1,81.255
1/20/2023,$1,80.9763
1/21/2023,$1,80.9762
1/22/2023,$1,80.9647
1/23/2023,$1,81.5146
1/24/2023,$1,81.6303
1/25/2023,$1,81.5048
1/26/2023,$1,81.4584
1/27/2023,$1,81.5235
1/28/2023,$1,81.5155
1/29/2023,$1,81.5058
1/30/2023,$1,81.5691
1/31/2023,$1,81.786
2/1/2023,$1,81.7158
2/2/2023,$1,82.0487
2/3/2023,$1,82.4916
2/4/2023,$1,82.494
2/5/2023,$1,82.3269
2/6/2023,$1,82.7218
2/7/2023,$1,82.7388
2/8/2023,$1,82.6583
2/9/2023,$1,82.5436
2/10/2023,$1,82.495
2/11/2023,$1,82.4891
2/12/2023,$1,82.5179
2/13/2023,$1,82.5611
2/14/2023,$1,82.8623
2/15/2023,$1,82.7207
2/16/2023,$1,82.7166
2/17/2023,$1,82.8083
2/18/2023,$1,82.8142
2/19/2023,$1,82.7731
2/20/2023,$1,82.7206
2/21/2023,$1,82.8987
2/22/2023,$1,82.8434
2/23/2023,$1,82.6357
2/24/2023,$1,82.9334
2/25/2023,$1,82.9291
2/26/2023,$1,82.9275
2/27/2023,$1,82.6728
2/28/2023,$1,82.6411
3/1/2023,$1,82.4181
3/2/2023,$1,82.3494
3/3/2023,$1,81.712
3/4/2023,$1,81.7128
3/5/2023,$1,81.7423
3/6/2023,$1,81.8576
3/7/2023,$1,82.0722
3/8/2023,$1,81.9603
3/9/2023,$1,82.0112
3/10/2023,$1,82.0184
3/11/2023,$1,81.9655
3/12/2023,$1,82.0187
3/13/2023,$1,82.4219
3/14/2023,$1,82.3091
3/15/2023,$1,82.7132
3/16/2023,$1,82.6418
3/17/2023,$1,82.5312
3/18/2023,$1,82.536
3/19/2023,$1,82.5441
3/20/2023,$1,82.5196
3/21/2023,$1,82.6627
3/22/2023,$1,82.5195
3/23/2023,$1,82.2535
3/24/2023,$1,82.3474
3/25/2023,$1,82.3474
3/26/2023,$1,82.3483
3/27/2023,$1,82.2404
3/28/2023,$1,82.1643
3/29/2023,$1,82.246
3/30/2023,$1,82.1028
3/31/2023,$1,82.1807
4/1/2023,$1,82.1806
4/2/2023,$1,82.2009
4/3/2023,$1,82.147
4/4/2023,$1,82.1382
4/5/2023,$1,81.96
4/6/2023,$1,81.8249
4/7/2023,$1,81.8752
4/8/2023,$1,81.8405
4/9/2023,$1,81.8405
4/10/2023,$1,81.9768
4/11/2023,$1,82.0786
4/12/2023,$1,81.9505
4/13/2023,$1,81.6914
4/14/2023,$1,81.8518
4/15/2023,$1,81.8421
4/16/2023,$1,81.8568
4/17/2023,$1,82.0042
4/18/2023,$1,82.1074
4/19/2023,$1,82.3337
4/20/2023,$1,82.1534
4/21/2023,$1,82.0407
4/22/2023,$1,82.0409
4/23/2023,$1,82.0361
4/24/2023,$1,81.8553
4/25/2023,$1,81.9782
4/26/2023,$1,81.7475
4/27/2023,$1,81.7159
4/28/2023,$1,81.7451
4/29/2023,$1,81.7417
4/30/2023,$1,81.7644
5/1/2023,$1,81.7803
5/2/2023,$1,81.7702
5/3/2023,$1,81.8045
5/4/2023,$1,81.6984
5/5/2023,$1,81.7296
5/6/2023,$1,81.7297
5/7/2023,$1,81.7198
5/8/2023,$1,81.7874
5/9/2023,$1,82.1017
5/10/2023,$1,81.913
5/11/2023,$1,82.0939
5/12/2023,$1,82.2563
5/13/2023,$1,82.1972
5/14/2023,$1,82.2277
5/15/2023,$1,82.2696
5/16/2023,$1,82.2949
5/17/2023,$1,82.4576
5/18/2023,$1,82.7262
5/19/2023,$1,82.8421
5/20/2023,$1,82.8431
5/21/2023,$1,82.883
5/22/2023,$1,82.8221
5/23/2023,$1,82.8965
5/24/2023,$1,82.705
5/25/2023,$1,82.7336
5/26/2023,$1,82.5648
5/27/2023,$1,82.5648
5/28/2023,$1,82.569
5/29/2023,$1,82.5798
5/30/2023,$1,82.6817
5/31/2023,$1,82.6689
6/1/2023,$1,82.28
6/2/2023,$1,82.4023
6/3/2023,$1,82.4015
6/4/2023,$1,82.4066
6/5/2023,$1,82.5063
6/6/2023,$1,82.5195
6/7/2023,$1,82.6246
6/8/2023,$1,82.4813
6/9/2023,$1,82.4247
6/10/2023,$1,82.4213
6/11/2023,$1,82.4349
6/12/2023,$1,82.3292
6/13/2023,$1,82.2905
6/14/2023,$1,82.045
6/15/2023,$1,81.91
6/16/2023,$1,81.9067
6/17/2023,$1,81.9067
6/18/2023,$1,81.9159
6/19/2023,$1,81.9824
6/20/2023,$1,81.9919
6/21/2023,$1,81.9439
6/22/2023,$1,81.9003
6/23/2023,$1,81.9707
6/24/2023,$1,81.9854
6/25/2023,$1,81.9608
6/26/2023,$1,82.0053
6/27/2023,$1,81.9996
6/28/2023,$1,82.0253
6/29/2023,$1,82.0735
6/30/2023,$1,82.0995
7/1/2023,$1,82.0995
7/2/2023,$1,82.0975
7/3/2023,$1,81.9673
7/4/2023,$1,82.0047
7/5/2023,$1,82.3945
7/6/2023,$1,82.77
7/7/2023,$1,82.6508
7/8/2023,$1,82.6467
7/9/2023,$1,82.6283
7/10/2023,$1,82.5359
7/11/2023,$1,82.3838
7/12/2023,$1,81.9746
7/13/2023,$1,82.0314
7/14/2023,$1,82.1337
7/15/2023,$1,82.1162
7/16/2023,$1,82.0752
7/17/2023,$1,82.0566
7/18/2023,$1,82.0756
7/19/2023,$1,82.0652
7/20/2023,$1,82.0838
7/21/2023,$1,82.003
7/22/2023,$1,82.004
7/23/2023,$1,82.0051
7/24/2023,$1,81.8143
7/25/2023,$1,81.9562
7/26/2023,$1,81.9757
7/27/2023,$1,82.3732
7/28/2023,$1,82.2598
7/29/2023,$1,82.2665
7/30/2023,$1,82.2634
7/31/2023,$1,82.2412
8/1/2023,$1,82.3371
8/2/2023,$1,82.6655
8/3/2023,$1,82.833
8/4/2023,$1,82.6767
8/5/2023,$1,82.6767
8/6/2023,$1,82.6869
8/7/2023,$1,82.7638
8/8/2023,$1,82.859
8/9/2023,$1,82.9243
8/10/2023,$1,82.9183
8/11/2023,$1,82.9566
8/12/2023,$1,82.9575
8/13/2023,$1,82.9558
8/14/2023,$1,83.4074
8/15/2023,$1,83.2043
8/16/2023,$1,83.2342
8/17/2023,$1,83.1014
8/18/2023,$1,83.157
8/19/2023,$1,83.1571
8/20/2023,$1,83.1606
8/21/2023,$1,83.1074
8/22/2023,$1,83.0844
8/23/2023,$1,82.5442
8/24/2023,$1,82.6346
8/25/2023,$1,82.5286
8/26/2023,$1,82.5483
8/27/2023,$1,82.5458
8/28/2023,$1,82.6664
8/29/2023,$1,82.5783
8/30/2023,$1,82.8087
8/31/2023,$1,82.6552
9/1/2023,$1,82.7238
9/2/2023,$1,82.7239
9/3/2023,$1,82.7341
9/4/2023,$1,82.7829
9/5/2023,$1,83.2428
9/6/2023,$1,83.2762
9/7/2023,$1,83.2303
9/8/2023,$1,83.045
9/9/2023,$1,83.045
9/10/2023,$1,83.0963
9/11/2023,$1,82.8235
9/12/2023,$1,82.2504
9/13/2023,$1,83.0067
9/14/2023,$1,83.1147
9/15/2023,$1,83.1041
9/16/2023,$1,83.1041
9/17/2023,$1,83.0893
9/18/2023,$1,83.2639
9/19/2023,$1,83.4426
9/20/2023,$1,83.06
9/21/2023,$1,83.1226
9/22/2023,$1,83.1088
9/23/2023,$1,83.0994
9/24/2023,$1,83.1023
9/25/2023,$1,83.052
9/26/2023,$1,83.2871
9/27/2023,$1,83.2358
9/28/2023,$1,83.1202
9/29/2023,$1,83.1775
9/30/2023,$1,83.1775
10/1/2023,$1,83.1208
10/2/2023,$1,83.364
10/3/2023,$1,83.2296
10/4/2023,$1,83.3594
10/5/2023,$1,83.2512
10/6/2023,$1,83.0882
10/7/2023,$1,83.12
10/8/2023,$1,83.1029
10/9/2023,$1,83.2274
10/10/2023,$1,83.3181
10/11/2023,$1,83.2163
10/12/2023,$1,83.1892
10/13/2023,$1,83.2796
10/14/2023,$1,83.2761
10/15/2023,$1,83.3247
10/16/2023,$1,83.2033
10/17/2023,$1,83.2624
10/18/2023,$1,83.2513
10/19/2023,$1,83.1137
10/20/2023,$1,83.2328
10/21/2023,$1,83.2524
10/22/2023,$1,83.2328
10/23/2023,$1,83.0363
10/24/2023,$1,83.0179
10/25/2023,$1,83.19
10/26/2023,$1,83.2849
10/27/2023,$1,83.4132
10/28/2023,$1,83.4166
10/29/2023,$1,83.4137
10/30/2023,$1,83.294
10/31/2023,$1,83.2639
11/1/2023,$1,83.2557
11/2/2023,$1,83.3063
11/3/2023,$1,83.1587
11/4/2023,$1,83.1587
11/5/2023,$1,83.1632
11/6/2023,$1,83.2298
11/7/2023,$1,83.2333
11/8/2023,$1,83.2178
11/9/2023,$1,83.32
11/10/2023,$1,83.2881
11/11/2023,$1,83.2942
11/12/2023,$1,83.295
11/13/2023,$1,83.1945
11/14/2023,$1,83.0417
11/15/2023,$1,83.1767
11/16/2023,$1,83.1648
11/17/2023,$1,83.2917
11/18/2023,$1,83.2917
11/19/2023,$1,83.3144
11/20/2023,$1,83.3225
11/21/2023,$1,83.3559
11/22/2023,$1,83.3529
11/23/2023,$1,83.3476
11/24/2023,$1,83.3157
11/25/2023,$1,83.3156
11/26/2023,$1,83.3232
11/27/2023,$1,83.3647
11/28/2023,$1,83.3645
11/29/2023,$1,83.3291
11/30/2023,$1,83.3557
12/1/2023,$1,83.2506
12/2/2023,$1,83.2506
12/3/2023,$1,83.254
12/4/2023,$1,83.4259
12/5/2023,$1,83.3135
12/6/2023,$1,83.3334
12/7/2023,$1,83.3561
12/8/2023,$1,83.4303
12/9/2023,$1,83.4303
12/10/2023,$1,83.4173
12/11/2023,$1,83.3461
12/12/2023,$1,83.3872
12/13/2023,$1,83.2847
12/14/2023,$1,83.2974
12/15/2023,$1,83.0485
12/16/2023,$1,83.0418
12/17/2023,$1,83.0254
12/18/2023,$1,83.1116
12/19/2023,$1,83.0861